src/ui/footer/picker_presentation.zig:221 | CONFIRMED | signInProjectedRowIndex snapshot parameter is discarded and only used as _ = snapshot
src/core/mcp/elicitation.zig:613 | CONFIRMED | FormSchema.title field is never set or used because any schema containing title is rejected on line 720
src/core/terminal/host_policy.zig:111 | TESTED-ONLY | PendingRequests.cancel is only referenced in test blocks within host_policy.zig
src/core/gateway/model_catalog.zig:21 | REFUTED | FetchInput.view is written through a struct literal in src/gateway/openai_codex_models.zig:37
src/core/subagent/model_contract.zig:108 | TESTED-ONLY | Kind enum is only used by model_contract.Snapshot and inside model_contract.zig test blocks
src/core/hooks/tool.zig:1 | CONFIRMED | tool.zig and its re-export in hooks.zig are completely unused in the codebase
src/core/subagent/model_contract.zig:110 | TESTED-ONLY | Snapshot struct is only used by model_contract.plan and inside model_contract.zig test blocks
src/core/input/composer_selection.zig:31 | TESTED-ONLY | composer_selection.State.finish is only called in a test block in composer_selection.zig
src/core/auth/auth_runtime.zig:796 | REFUTED | selectForProvider is called in production at src/core/app/app_auth_runtime.zig:25 with provider parameter
src/core/mcp/elicitation.zig:157 | CONFIRMED | RequestState.cancelled is never constructed or used in production or test code
src/core/mcp/elicitation.zig:174 | CONFIRMED | Rejection.cancelled is never returned or checked in production or test code
src/core/subagent/authority.zig:51 | CONFIRMED | HostAuthority.capture is completely unused and has no callers in production or tests
src/core/app/app_auth_runtime.zig:111 | REFUTED | reconcileAfterChatGptLogout exists on app.auth in production, so the comptime check compiles and executes it
src/core/app/app_bootstrap_runtime.zig:10 | CONFIRMED | credentials import is unused in app_bootstrap_runtime.zig
src/core/app/app_auth_runtime.zig:3 | CONFIRMED | host import is unused in app_auth_runtime.zig
src/core/app/app_commands.zig:9 | CONFIRMED | host import is unused in app_commands.zig
src/core/mcp/elicitation.zig:614 | CONFIRMED | FormSchema.description field is never set or used because any schema containing description is rejected on line 720
src/ui/render_engine/frame_builder.zig:21 | REFUTED | FrameBody.none variant is matched in paintBody switch in src/core/app/app_render_runtime.zig:2152

STATUS: DONE
