status	platforms	file	case
pass	all	acp.test.ts	acp: model catalog authentication > --model flag overrides selected model without inheriting the default Fast mode
pass	all	acp.test.ts	acp: model catalog authentication > session/new includes team-private model options for seeded team auth
pass	all	acp.test.ts	acp: model catalog authentication > session/new uses public model options for seeded login without a selected team
skip	all	acp.test.ts	acp: model-backed protocol > invalid JSON returns parse error -32700
skip	all	acp.test.ts	acp: model-backed protocol > method before initialize returns error -32600
skip	all	acp.test.ts	acp: model-backed protocol > no stderr output during normal ACP operation
skip	all	acp.test.ts	acp: model-backed protocol > session provider changes use Codex credentials without crossing origins
skip	all	acp.test.ts	acp: model-backed protocol > session provider changes use Grok credentials with byte-identical account-stable replay
skip	all	acp.test.ts	acp: model-backed protocol > session/cancel does not crash the server
skip	all	acp.test.ts	acp: model-backed protocol > session/list returns sessions array
skip	all	acp.test.ts	acp: model-backed protocol > session/load returns configOptions for a known session
skip	all	acp.test.ts	acp: model-backed protocol > session/new model configOptions has multiple options
skip	all	acp.test.ts	acp: model-backed protocol > session/new returns sessionId and configOptions
skip	all	acp.test.ts	acp: model-backed protocol > session/prompt returns response with stopReason
skip	all	acp.test.ts	acp: model-backed protocol > session/set_config_option updates model and returns configOptions
skip	all	acp.test.ts	acp: model-backed protocol > session/set_mode updates mode
skip	all	acp.test.ts	acp: model-backed protocol > unknown method returns error -32601
pass	all	acp.test.ts	acp: model-independent > ACP EOF cancels a pending direct elicitation without hanging
pass	all	acp.test.ts	acp: model-independent > ACP HTTP tools and headers are recreated through load and resume
pass	all	acp.test.ts	acp: model-independent > ACP URL consent completes only after modern MCP retry without prefetching
pass	all	acp.test.ts	acp: model-independent > ACP added-root reads skip external deferral and added project instructions
pass	all	acp.test.ts	acp: model-independent > ACP allow-once command approval executes with shared authority
pass	all	acp.test.ts	acp: model-independent > ACP automatic ask returns to the agent before requesting permission
pass	all	acp.test.ts	acp: model-independent > ACP bearer headers authenticate HTTP without persisting the credential
pass	all	acp.test.ts	acp: model-independent > ACP binds an explicitly invoked skill into the prompt
pass	all	acp.test.ts	acp: model-independent > ACP bounds aggregate remote resource omissions across project content limits
pass	all	acp.test.ts	acp: model-independent > ACP bounds oversized omission sources independently of project content limits
pass	all	acp.test.ts	acp: model-independent > ACP cancellation aborts held automatic review and keeps server usable
pass	all	acp.test.ts	acp: model-independent > ACP cancellation interrupts terminal subagent waiting and keeps the server usable
pass	all	acp.test.ts	acp: model-independent > ACP capability shapes require explicit non-null modes
pass	all	acp.test.ts	acp: model-independent > ACP cross-session restore retires reduced project authority before required failure
pass	all	acp.test.ts	acp: model-independent > ACP executes one direct subagent result with inherited tools
pass	all	acp.test.ts	acp: model-independent > ACP executes the shared managed shell TTY path
pass	all	acp.test.ts	acp: model-independent > ACP form elicitation resumes the exact modern MCP operation
pass	all	acp.test.ts	acp: model-independent > ACP forwards exact Markdown source without rendered duplicates
pass	all	acp.test.ts	acp: model-independent > ACP keeps duplicate primary server names and excludes a workspace collision
pass	all	acp.test.ts	acp: model-independent > ACP keeps the session active after repeated advisory cautions
pass	all	acp.test.ts	acp: model-independent > ACP keeps valid skills when a malformed neighbor is diagnosed
pass	all	acp.test.ts	acp: model-independent > ACP never sends a URL mode the client did not advertise
pass	all	acp.test.ts	acp: model-independent > ACP ranks a natural skill match before bounded catalog omission
pass	all	acp.test.ts	acp: model-independent > ACP rejects an explicitly invoked skill deleted after session startup
pass	all	acp.test.ts	acp: model-independent > ACP rejects invalid or unsupported MCP config and never loads profile MCP
pass	all	acp.test.ts	acp: model-independent > ACP rejects redirects, bad status, and bad media types from HTTP MCP
pass	all	acp.test.ts	acp: model-independent > ACP reload replays pending execution once and clears recovery after completion
pass	all	acp.test.ts	acp: model-independent > ACP remote authentication never starts an interactive authorization flow
pass	all	acp.test.ts	acp: model-independent > ACP replacement and close cancel stalled HTTP MCP calls
pass	all	acp.test.ts	acp: model-independent > ACP reports a paused recovery and continues it only on explicit metadata
pass	all	acp.test.ts	acp: model-independent > ACP routes legacy HTTP and SSE configs through new load resume and close
pass	all	acp.test.ts	acp: model-independent > ACP sends a prompt above the old CLI limit with one capability snapshot
pass	all	acp.test.ts	acp: model-independent > ACP sends continuation text normally with the full tool surface
pass	all	acp.test.ts	acp: model-independent > ACP session/new calls a supplied modern HTTP MCP server
pass	all	acp.test.ts	acp: model-independent > ACP session/new keeps rejected and pending workspace MCP inert
pass	all	acp.test.ts	acp: model-independent > ACP session/new retires reduced active project authority before required failure
pass	all	acp.test.ts	acp: model-independent > ACP skips pending workspace MCP and loads it after explicit trust
pass	all	acp.test.ts	acp: model-independent > ACP stdin EOF cancels a stalled HTTP MCP call
pass	all	acp.test.ts	acp: model-independent > ACP without elicitation capability returns input-required without a direct request
pass	all	acp.test.ts	acp: model-independent > active ACP session uses typed MCP Resources Prompts and Completion state
pass	all	acp.test.ts	acp: model-independent > auth failure names the selected source without leaking the provider body
pass	all	acp.test.ts	acp: model-independent > code mode deterministically gates external missing-parent writes by rule
pass	all	acp.test.ts	acp: model-independent > context limit warnings use ACP session updates and dedupe for the live session
pass	all	acp.test.ts	acp: model-independent > declined legacy URL consent suppresses an early completion
pass	all	acp.test.ts	acp: model-independent > durable mutation sentinel terminates a writable session path
pass	all	acp.test.ts	acp: model-independent > exact and oversized request frames preserve the ACP connection boundary
pass	all	acp.test.ts	acp: model-independent > expected prompt validation error preserves -32602 and admits next prompt
pass	all	acp.test.ts	acp: model-independent > explicit rejection blocks execution with a failed terminal status
pass	all	acp.test.ts	acp: model-independent > image prompt rejection preserves history and admits the next text prompt
pass	all	acp.test.ts	acp: model-independent > initialize reports that image prompt blocks are unsupported
pass	all	acp.test.ts	acp: model-independent > invalid JSON returns parse error without stderr
pass	all	acp.test.ts	acp: model-independent > invalid initialize requests return invalid_params without poisoning the connection
pass	all	acp.test.ts	acp: model-independent > legacy URL completion is correlated from the notification listener to ACP
pass	all	acp.test.ts	acp: model-independent > legacy URL completion waits for ACP consent and publishes exactly once
pass	all	acp.test.ts	acp: model-independent > malformed local tool arguments recover with a normal final stop
pass	all	acp.test.ts	acp: model-independent > method before initialize returns error -32600
pass	all	acp.test.ts	acp: model-independent > missing API key returns JSON-RPC error on initialize
pass	all	acp.test.ts	acp: model-independent > mode changes during a prompt apply to the next prompt
pass	all	acp.test.ts	acp: model-independent > negotiated legacy MCP form requests use the versioned direct adapter
pass	all	acp.test.ts	acp: model-independent > non-retryable prompt failure preserves -32603 and leaves the server usable
pass	all	acp.test.ts	acp: model-independent > permission requests reuse tool ids and session grants
pass	all	acp.test.ts	acp: model-independent > project omissions reach ACP session updates and model context
pass	all	acp.test.ts	acp: model-independent > prompt before session creation returns the canonical no-session error
pass	all	acp.test.ts	acp: model-independent > provider length after silent tools returns max output tokens without continuation
pass	all	acp.test.ts	acp: model-independent > provider length with tool calls returns max output tokens without execution
pass	all	acp.test.ts	acp: model-independent > read_file rejects a FIFO without waiting for a writer
pass	all	acp.test.ts	acp: model-independent > replacement and close cancel slow MCP calls and reap children
pass	all	acp.test.ts	acp: model-independent > response waits continue across an internal read slice timeout
pass	all	acp.test.ts	acp: model-independent > running prompt rejects non-cancel requests
pass	all	acp.test.ts	acp: model-independent > secret-like form fields are rejected before ACP publication or model exposure
pass	all	acp.test.ts	acp: model-independent > sequential ACP sessions isolate same-named MCP tools
pass	all	acp.test.ts	acp: model-independent > session cancellation interrupts a pending MCP elicitation
pass	all	acp.test.ts	acp: model-independent > session list stays available and session create reports store unavailable without HOME
pass	all	acp.test.ts	acp: model-independent > session load addresses a special-token ID literally
pass	all	acp.test.ts	acp: model-independent > session load omits synthetic execution for summary-only turns
pass	all	acp.test.ts	acp: model-independent > session load replays completed assistant execution before the final answer
pass	all	acp.test.ts	acp: model-independent > session/cancel requests receive JSON-RPC responses
pass	all	acp.test.ts	acp: model-independent > session/list exposes bounded titled pages
pass	all	acp.test.ts	acp: model-independent > session/list leaves an empty home unchanged
pass	all	acp.test.ts	acp: model-independent > session/list omits legacy sessions without a workspace
pass	all	acp.test.ts	acp: model-independent > session/list rejects relative cwd
pass	all	acp.test.ts	acp: model-independent > session/list treats null cwd as omitted
pass	all	acp.test.ts	acp: model-independent > session/list without cwd returns all sessions and filters by absolute cwd
pass	all	acp.test.ts	acp: model-independent > session/load reports contention and succeeds after the owner exits
pass	all	acp.test.ts	acp: model-independent > session/new omits the removed summary command
pass	all	acp.test.ts	acp: model-independent > session/prompt applies scoped instructions from a local resource target
pass	all	acp.test.ts	acp: model-independent > session/prompt defers a scoped mutation until its instructions are visible
pass	all	acp.test.ts	acp: model-independent > session/prompt refreshes project context before each turn
pass	all	acp.test.ts	acp: model-independent > stdin EOF cancels a stalled MCP call and reaps its child and reader
pass	all	acp.test.ts	acp: model-independent > stdin shutdown cancels a pending permission request
pass	all	acp.test.ts	acp: model-independent > stdin shutdown joins a terminal prompt worker before teardown
pass	all	acp.test.ts	acp: model-independent > supplied stdio tools are recreated through new load and resume
pass	all	acp.test.ts	acp: model-independent > terminal prompt response admits an immediate second session/prompt
pass	all	acp.test.ts	acp: model-independent > terminal prompt response admits immediate session/list before worker exit
pass	all	ask-presentation.test.ts	fx ask presentation > --no-color keeps the TTY layout without fx styles or hyperlinks
pass	all	ask-presentation.test.ts	fx ask presentation > JSON separates accumulated assistant Markdown from the completed final response
pass	all	ask-presentation.test.ts	fx ask presentation > TTY Minimal hides context and auto-approval notices
pass	all	ask-presentation.test.ts	fx ask presentation > TTY output taller than the pane survives in native scrollback
pass	all	ask-presentation.test.ts	fx ask presentation > TTY prints the header before output and releases while the response is open
pass	all	ask-presentation.test.ts	fx ask presentation > TTY stdout uses the Minimal transcript and compact tool group
pass	all	ask-presentation.test.ts	fx ask presentation > TTY wrapped output stays ordered and appears exactly once
pass	all	ask-presentation.test.ts	fx ask presentation > light theme uses readable syntax colors in TTY code blocks with redirected stdin
pass	all	ask-presentation.test.ts	fx ask presentation > no-save advertises process-local shell actions and preserves run profiles
pass	all	ask-presentation.test.ts	fx ask presentation > redirected and JSON stdout preserve raw assistant Markdown
pass	all	ask-presentation.test.ts	fx ask presentation > redirected command output separates the next tool header
pass	all	auth-refresh.test.ts	OAuth sessions keep using their saved issuer when configuration changes
pass	all	auth-refresh.test.ts	fx ask keeps a failed API key selected when login also exists
pass	all	auth-refresh.test.ts	fx ask refreshes an expired login then forces one refresh and retry after 401
pass	all	auth-refresh.test.ts	invalid saved OAuth issuers receive no access or refresh token
pass	all	auth-refresh.test.ts	logout cannot be undone by an in-flight login refresh
pass	all	auth-refresh.test.ts	saved API-key 401 discards only the new empty session and preserves resume last
pass	all	auth-refresh.test.ts	status and doctor report an expired login instead of refreshing it
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > a configured safe command bypasses automatic review
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > a first automatic block returns to the agent for a safe replan
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > a mixed caution and success batch keeps the agent active
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > a noninteractive caution stays inside the agent loop and effect free
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > a prompt-capable host also lets the agent recover before asking the user
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > an exact read-only git status bypasses automatic review
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > an explicitly requested unknown wrapper clears contextual review
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > clean TTY reads require shell review before execution
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > clean direct reads bypass review and PATH while destructive commands stay blocked
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > configured wildcard commands cannot absorb shell operators or substitutions
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > contextual command review keeps oversized root history bounded
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > contextual deployment review clears despite conflicting task text
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > different command shapes receive independent advisory reviews
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > existing startup targets remain reviewer owned
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > explicit destructive commands reach the reviewer and clear exact actions
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > git checkout hooks remain reviewer owned
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > git pull post-merge hook remains reviewer owned
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > literal credentials produce one deterministic hold for unchanged startup edits
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > repeated exact cautions are reviewed once without disabling tools
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > requested media rebuild clears while a paraphrased injected action cautions
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > reviewed clean TTY reads execute with shell authority
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > rtk remains reviewer owned as an unresolved executable boundary
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > saved-session allow survives restart and bypasses automatic review
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > saved-session deny is confirmed, enforced over configured allow, listed, and revoked by id
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > standalone quiet stays silent after repeated advisory cautions
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > symbolic credential references remain reviewable in external startup edits
pass	all	auto-mode-reliability.test.ts	lean auto mode reliability > unresolved destructive commands receive contextual review
pass	all	ci-shards.test.ts	CI shard planner > an exact relative path does not select a colliding Bun test basename
pass	all	ci-shards.test.ts	CI shard planner > assigns descending weights to the lightest shard deterministically
pass	all	ci-shards.test.ts	CI shard planner > assigns the discovered set exactly once
pass	all	ci-shards.test.ts	CI shard planner > rejects duplicate filenames and invalid weights
pass	all	ci-shards.test.ts	CI shard planner > rejects invalid shard counts, empty shards, and invalid indices
pass	all	ci-shards.test.ts	CI shard planner > rejects missing and stale manifest entries
pass	all	ci-shards.test.ts	CI shard planner > uses filename and shard index to break equal-weight ties
macos-aarch64=pass;linux-x86_64=skip;linux-aarch64=skip	all	cli.test.ts	cli: Keychain authentication > fx ask reads an existing Keychain credential without onboarding
pass	all	cli.test.ts	cli: MCP profile add > adds local and HTTP servers without launching either server
pass	all	cli.test.ts	cli: MCP profile add > canonicalizes alias input and refuses ambiguous server-like keys
pass	all	cli.test.ts	cli: MCP profile add > fails precisely without HOME or valid add syntax
pass	all	cli.test.ts	cli: MCP profile add > lists paths and removes profile servers without launching MCP transport
pass	all	cli.test.ts	cli: MCP profile add > serializes concurrent different-name additions
pass	all	cli.test.ts	cli: MCP profile add > status and doctor inspect MCP without transport while list --connect discovers it
pass	all	cli.test.ts	cli: ask input validation > fx ask rejects invalid UTF-8 stdin before Gateway or session effects
skip	all	cli.test.ts	cli: ask success > fx ask --json --no-save --auto returns valid JSON with output
pass	all	cli.test.ts	cli: ask success > fx ask binds an explicitly invoked skill into the prompt
pass	all	cli.test.ts	cli: ask success > fx ask sends catalog-backed portable reasoning
pass	all	cli.test.ts	cli: ask success > fx ask stdin prompts above the old 1 MiB limit reach Gateway byte-for-byte
pass	all	cli.test.ts	cli: ask success > fx ask stdin resource overflow has distinct text and JSON errors
skip	all	cli.test.ts	cli: ask success > live Gateway accepts catalog-backed portable reasoning
pass	all	cli.test.ts	cli: ask success > saved ask resumes the exact session while no-save creates no durable state
pass	all	cli.test.ts	cli: ask success > saved ask survives session cache contention and repairs after release
