src/core/auth/auth_runtime.zig:69 | CONFIRMED | no callers of FailureSnapshot.renderJson exist in the codebase
src/core/upgrade/update_target.zig:68 | REFUTED | called by upgrade_runtime.zig:84 in production update flow
src/core/mcp/mcp_auth_store.zig:134 | CONFIRMED | mcp_auth_store.status has no callers in the codebase
src/core/permissions/auto_classifier.zig:329 | CONFIRMED | field is never set or read in production or test code
src/core/execution/managed_execution_contract.zig:21 | TESTED-ONLY | only referenced in test "tombstones contain terminal facts without authority"
src/core/mcp/features/tools.zig:11 | REFUTED | used as field types and parameter types in src/core/mcp/features/tools.zig
src/tools/skills/install_skill.zig:96 | CONFIRMED | function has zero callers in production or test code
src/tools/skills/skill.zig:135 | CONFIRMED | function has zero callers in production or test code
src/core/notifications/sound.zig:116 | REFUTED | referenced in production sound.zig:136 compile-time check
src/core/mcp/elicitation.zig:119 | REFUTED | referenced as field type in elicitation.zig:131 and used in mcp_runtime.zig:2244
src/core/permissions/auto_classifier.zig:361 | CONFIRMED | function has zero callers in production or test code
src/core/slash_commands/command_specs.zig:100 | REFUTED | referenced in commands.zig:312 and command_specs.zig:313
src/builtins/tools.zig:872 | REFUTED | called in toolRequiresApproval in tools.zig:886 and modes.zig:60
src/builtins/modes.zig:23 | TESTED-ONLY | only referenced in test blocks in src/builtins/modes.zig
src/core/terminal/recovery.zig:6 | TESTED-ONLY | only referenced in test "recovery never restarts and isolates invalid durable records"
src/core/cli/cli_surface.zig:581 | CONFIRMED | parameter is explicitly discarded with _ = target; in the function body
src/core/auth/credentials.zig:157 | CONFIRMED | function has zero callers in production or test code
src/core/upgrade/update_target.zig:10 | TESTED-ONLY | only referenced in test blocks in src/core/upgrade/update_target.zig

STATUS: DONE
