src/builtins/commands.zig:411 | CONFIRMED | zero references to this re-export are found across the entire codebase
src/core/agent/runtime/execution_memory.zig:230 | REFUTED | called by orchestrator.zig:2316 in production providerExecutedResult flow
src/core/terminal/contracts.zig:1671 | TESTED-ONLY | only referenced in test blocks (e.g. test_persistence in store.zig and contracts.zig tests)
src/core/shared/message.zig:16 | REFUTED | MessageAdapter.content in execution_memory.zig:305 calls content_value.asText() in production buildNormalMessageExecutionMemory
src/core/gateway/provider_set.zig:23 | CONFIRMED | field is initialized in builtins but never read anywhere in production code
src/builtins/commands.zig:387 | CONFIRMED | zero references to this wrapper function exist in the codebase
src/core/app/prompt_history_runtime.zig:188 | CONFIRMED | zero references to PromptHistoryRuntime.displayPath exist in the codebase
src/core/input/composer_history.zig:31 | REFUTED | ActiveComposer is the type of navigate's third parameter, which is called by src/ui/input/runtime.zig:741 in production
src/core/auth/oauth.zig:103 | TESTED-ONLY | only reference is in test "oauth discovery..." block in oauth.zig
src/core/subagent/execution.zig:40 | REFUTED | variant is matched in a production switch in managed_owner.zig:332
src/builtins/mcp.zig:1136 | TESTED-ONLY | only referenced within test blocks in mcp.zig
src/core/mcp/features/tools.zig:214 | CONFIRMED | these re-exports are never referenced anywhere in the codebase
src/core/execution/command_environment.zig:16 | CONFIRMED | workspace_clean environment is never constructed or parsed in any production path
src/core/execution/command_environment.zig:136 | CONFIRMED | workspace_clean host is never set on any production tools spec
src/core/execution/command_environment.zig:116 | CONFIRMED | workspace_clean arm is dead code as the environment variant is never produced in production
src/core/execution/command_runner.zig:626 | CONFIRMED | workspace_clean arm is dead code as the environment variant is never produced in production
src/core/execution/managed_execution.zig:1425 | CONFIRMED | workspace_clean arm is dead code as the environment variant is never produced in production
src/main.zig:58 | REFUTED | constant is referenced in 15+ production callers in main.zig (e.g. lines 1698, 1774, 3374)

STATUS: DONE
